"Plot Title: 1058736"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058736, SEN S/N: 1058736)","Host Connected (LGR S/N: 1058736)","Coupler Attached (LGR S/N: 1058736)","End Of File (LGR S/N: 1058736)"
102,08/08/23 08:10:00 AM,27.764,,,
103,08/08/23 08:20:00 AM,27.961,,,
104,08/08/23 08:30:00 AM,27.665,,,
105,08/08/23 08:40:00 AM,27.764,,,
106,08/08/23 08:50:00 AM,27.961,,,
107,08/08/23 09:00:00 AM,27.665,,,
108,08/08/23 09:10:00 AM,28.159,,,
109,08/08/23 09:20:00 AM,28.357,,,
110,08/08/23 09:30:00 AM,28.555,,,
111,08/08/23 09:40:00 AM,28.655,,,
112,08/08/23 09:50:00 AM,28.853,,,
113,08/08/23 10:00:00 AM,28.655,,,
114,08/08/23 10:10:00 AM,28.060,,,
115,08/08/23 10:20:00 AM,27.665,,,
116,08/08/23 10:30:00 AM,27.862,,,
117,08/08/23 10:40:00 AM,27.665,,,
118,08/08/23 10:50:00 AM,27.764,,,
119,08/08/23 11:00:00 AM,27.665,,,
120,08/08/23 11:10:00 AM,27.764,,,
121,08/08/23 11:20:00 AM,27.764,,,
122,08/08/23 11:30:00 AM,27.764,,,
123,08/08/23 11:40:00 AM,27.665,,,
124,08/08/23 11:50:00 AM,27.764,,,
125,08/08/23 12:00:00 PM,27.961,,,
126,08/08/23 12:10:00 PM,28.258,,,
127,08/08/23 12:20:00 PM,27.862,,,
128,08/08/23 12:30:00 PM,27.665,,,
129,08/08/23 12:40:00 PM,27.764,,,
130,08/08/23 12:50:00 PM,27.665,,,
131,08/08/23 01:00:00 PM,27.862,,,
132,08/08/23 01:10:00 PM,27.961,,,
133,08/08/23 01:20:00 PM,27.764,,,
134,08/08/23 01:30:00 PM,28.060,,,
135,08/08/23 01:40:00 PM,27.764,,,
136,08/08/23 01:50:00 PM,27.764,,,
137,08/08/23 02:00:00 PM,25.708,,,
138,08/08/23 02:03:14 PM,,Logged,,
139,08/08/23 02:03:15 PM,,,Logged,Logged
